Train 145 {from: Kyiv; to: Wien; depart: 20-06-1916 17:09:00; arrive: 22-06-1916 19:09:00}
Train 213 {from: Munchen; to: Kharkov; depart: 22-12-1915 18:47:00; arrive: 30-12-1915 18:47:00}
Train 214 {from: Palermo; to: Vilno; depart: 29-08-1915 22:02:00; arrive: 04-09-1915 01:02:00}
Train 215 {from: Danzig; to: Venezia; depart: 17-05-1915 21:54:00; arrive: 20-05-1915 22:54:00}
Train 216 {from: Venezia; to: Zgrab; depart: 07-04-1916 07:19:00; arrive: 09-04-1916 16:19:00}
Train 217 {from: Wien; to: Kharkov; depart: 03-02-1916 08:57:00; arrive: 08-02-1916 17:57:00}
Train 218 {from: Buguresti; to: Zurich; depart: 18-03-1916 10:09:00; arrive: 22-03-1916 16:09:00}
Train 219 {from: Frankfurt; to: Vilno; depart: 12-01-1915 05:40:00; arrive: 15-01-1915 12:40:00}
Train 220 {from: Zurich; to: Berlin; depart: 20-07-1916 12:00:00; arrive: 21-07-1916 16:00:00}
Train 221 {from: Sevastopol; to: Warszawa; depart: 13-08-1916 19:07:00; arrive: 16-08-1916 03:07:00}
Train 222 {from: Bruxelles; to: Budapest; depart: 27-06-1915 13:30:00; arrive: 02-07-1915 20:30:00}
Train 223 {from: Bruxelles; to: Constantinopole; depart: 13-01-1916 16:33:00; arrive: 22-01-1916 00:33:00}
Train 224 {from: Kharkov; to: Palermo; depart: 10-02-1915 08:04:00; arrive: 17-02-1915 08:04:00}
Train 225 {from: Warszawa; to: Athina; depart: 02-10-1915 12:27:00; arrive: 06-10-1915 13:27:00}
Train 226 {from: Kharkov; to: Ancora; depart: 17-02-1915 01:20:00; arrive: 18-02-1915 09:20:00}
Train 227 {from: Brindisi; to: Paris; depart: 10-01-1915 04:36:00; arrive: 11-01-1915 07:36:00}
Train 228 {from: Zurich; to: Kharkov; depart: 13-04-1915 17:45:00; arrive: 20-04-1915 01:45:00}
Train 229 {from: Palermo; to: Bruxelles; depart: 07-07-1915 01:34:00; arrive: 08-07-1915 08:34:00}
Train 230 {from: Riga; to: Warszawa; depart: 02-06-1915 04:35:00; arrive: 02-06-1915 10:35:00}
Train 231 {from: Kyiv; to: Essen; depart: 16-07-1915 13:18:00; arrive: 19-07-1915 22:18:00}
Train 232 {from: Wien; to: Brindisi; depart: 03-03-1915 04:11:00; arrive: 05-03-1915 09:11:00}
Train 233 {from: Palermo; to: Moskva; depart: 05-01-1915 17:09:00; arrive: 14-01-1915 00:09:00}
Train 234 {from: Palermo; to: Ancora; depart: 22-07-1916 11:06:00; arrive: 28-07-1916 19:06:00}
Train 235 {from: Danzig; to: Budapest; depart: 20-07-1915 18:06:00; arrive: 21-07-1915 00:06:00}
Train 236 {from: Wien; to: Lisboa; depart: 14-12-1915 04:59:00; arrive: 20-12-1915 10:59:00}
Train 237 {from: Paris; to: Kyiv; depart: 06-07-1916 09:09:00; arrive: 12-07-1916 16:09:00}
Train 238 {from: Wien; to: Buguresti; depart: 13-07-1916 15:26:00; arrive: 16-07-1916 18:26:00}
Train 239 {from: Palermo; to: Rostov; depart: 02-04-1916 14:39:00; arrive: 09-04-1916 19:39:00}
Train 240 {from: Budapest; to: Rostov; depart: 05-08-1915 10:24:00; arrive: 08-08-1915 19:24:00}
Train 241 {from: Lisboa; to: Kharkov; depart: 03-05-1916 13:33:00; arrive: 14-05-1916 17:33:00}
Train 242 {from: Moskva; to: Petrograd; depart: 28-07-1916 10:21:00; arrive: 28-07-1916 14:21:00}
Train 243 {from: Zgrab; to: Barcelona; depart: 16-02-1915 20:14:00; arrive: 22-02-1915 20:14:00}
Train 244 {from: Essen; to: Kharkov; depart: 13-03-1915 16:57:00; arrive: 18-03-1915 16:57:00}
Train 245 {from: Sevastopol; to: Budapest; depart: 31-01-1916 06:47:00; arrive: 03-02-1916 07:47:00}
Train 246 {from: Madrid; to: Palermo; depart: 25-01-1915 05:05:00; arrive: 28-01-1915 05:05:00}
Train 247 {from: Buguresti; to: Budapest; depart: 01-09-1915 06:34:00; arrive: 03-09-1915 08:34:00}
Train 248 {from: Buguresti; to: Roma; depart: 17-04-1915 15:13:00; arrive: 22-04-1915 16:13:00}
Train 249 {from: Erzurum; to: Palermo; depart: 06-02-1915 01:24:00; arrive: 13-02-1915 01:24:00}
Train 250 {from: Constantinopole; to: Ancora; depart: 05-05-1916 11:43:00; arrive: 05-05-1916 20:43:00}
Train 251 {from: Venezia; to: Riga; depart: 25-03-1916 15:29:00; arrive: 28-03-1916 19:29:00}
Train 252 {from: Sarajevo; to: Amsterdam; depart: 14-06-1916 00:54:00; arrive: 19-06-1916 05:54:00}
Train 253 {from: Barcelona; to: Athina; depart: 18-04-1916 08:33:00; arrive: 20-04-1916 14:33:00}
Train 254 {from: Palermo; to: Paris; depart: 03-10-1915 04:46:00; arrive: 04-10-1915 10:46:00}
Train 255 {from: Rostov; to: Bruxelles; depart: 14-09-1915 05:12:00; arrive: 23-09-1915 08:12:00}
Train 256 {from: Petrograd; to: Sevastopol; depart: 02-08-1915 22:44:00; arrive: 03-08-1915 22:44:00}
Train 257 {from: Buguresti; to: Zurich; depart: 11-06-1916 13:27:00; arrive: 15-06-1916 21:27:00}
Train 258 {from: Madrid; to: Vilno; depart: 14-04-1916 09:13:00; arrive: 22-04-1916 15:13:00}
Train 259 {from: Pamplona; to: Barcelona; depart: 26-06-1916 01:39:00; arrive: 26-06-1916 08:39:00}
Train 260 {from: Frankfurt; to: Kyiv; depart: 27-07-1916 04:56:00; arrive: 30-07-1916 11:56:00}
Train 261 {from: Munchen; to: Amsterdam; depart: 29-07-1916 05:05:00; arrive: 30-07-1916 09:05:00}
Train 262 {from: Ancora; to: Athina; depart: 04-01-1915 07:05:00; arrive: 10-01-1915 10:05:00}
Train 263 {from: Sarajevo; to: Paris; depart: 07-05-1915 19:11:00; arrive: 12-05-1915 01:11:00}
Train 264 {from: Athina; to: Zgrab; depart: 01-03-1916 10:02:00; arrive: 04-03-1916 12:02:00}
Train 265 {from: Zurich; to: Lisboa; depart: 01-08-1915 06:00:00; arrive: 06-08-1915 06:00:00}
Train 266 {from: Barcelona; to: Amsterdam; depart: 13-12-1915 13:33:00; arrive: 14-12-1915 19:33:00}
Train 267 {from: Rostov; to: Zgrab; depart: 10-04-1915 15:27:00; arrive: 14-04-1915 18:27:00}
Train 268 {from: Danzig; to: Vilno; depart: 29-11-1915 05:52:00; arrive: 30-11-1915 09:52:00}
Train 269 {from: Brindisi; to: Sevastopol; depart: 09-03-1915 10:03:00; arrive: 15-03-1915 15:03:00}
Train 270 {from: Munchen; to: Marseille; depart: 07-09-1915 11:00:00; arrive: 07-09-1915 20:00:00}
Train 271 {from: Essen; to: Zgrab; depart: 20-05-1915 11:20:00; arrive: 21-05-1915 15:20:00}
Train 272 {from: Zgrab; to: Palermo; depart: 03-05-1916 17:13:00; arrive: 07-05-1916 02:13:00}
Train 273 {from: Sarajevo; to: Wien; depart: 14-12-1915 07:50:00; arrive: 14-12-1915 16:50:00}
Train 274 {from: Madrid; to: Petrograd; depart: 25-03-1916 07:15:00; arrive: 05-04-1916 16:15:00}
Train 275 {from: Essen; to: Frankfurt; depart: 01-01-1916 05:17:00; arrive: 01-01-1916 07:17:00}
Train 276 {from: Munchen; to: Buguresti; depart: 15-10-1915 11:35:00; arrive: 21-10-1915 19:35:00}
Train 277 {from: Budapest; to: Roma; depart: 14-12-1915 20:57:00; arrive: 17-12-1915 22:57:00}
Train 278 {from: Frankfurt; to: Ancora; depart: 02-01-1916 22:25:00; arrive: 07-01-1916 04:25:00}
Train 279 {from: Munchen; to: Rostov; depart: 18-04-1915 10:45:00; arrive: 26-04-1915 17:45:00}
Train 280 {from: Kyiv; to: Amsterdam; depart: 07-05-1916 07:18:00; arrive: 14-05-1916 15:18:00}
Train 281 {from: Madrid; to: Buguresti; depart: 12-02-1916 00:48:00; arrive: 21-02-1916 01:48:00}
Train 282 {from: Roma; to: Petrograd; depart: 19-09-1915 11:26:00; arrive: 26-09-1915 16:26:00}
Train 283 {from: Budapest; to: Ancora; depart: 03-06-1915 22:52:00; arrive: 05-06-1915 22:52:00}
Train 284 {from: Pamplona; to: Buguresti; depart: 12-08-1915 02:47:00; arrive: 20-08-1915 11:47:00}
Train 285 {from: Sarajevo; to: Munchen; depart: 21-05-1915 02:17:00; arrive: 25-05-1915 06:17:00}
Train 286 {from: Madrid; to: Moskva; depart: 17-01-1916 00:41:00; arrive: 28-01-1916 01:41:00}
Train 287 {from: Rostov; to: Bruxelles; depart: 04-08-1916 05:26:00; arrive: 13-08-1916 08:26:00}
Train 288 {from: Marseille; to: Athina; depart: 12-08-1915 10:14:00; arrive: 12-08-1915 19:14:00}
Train 289 {from: Warszawa; to: Riga; depart: 10-06-1915 08:48:00; arrive: 10-06-1915 08:48:00}
Train 290 {from: Kharkov; to: Venezia; depart: 04-09-1915 21:23:00; arrive: 11-09-1915 02:23:00}
Train 291 {from: Erzurum; to: Sevastopol; depart: 04-07-1916 10:42:00; arrive: 04-07-1916 16:42:00}
Train 292 {from: Constantinopole; to: Kharkov; depart: 19-08-1915 08:37:00; arrive: 20-08-1915 11:37:00}
Train 293 {from: Erzurum; to: Kharkov; depart: 12-11-1915 13:37:00; arrive: 12-11-1915 14:37:00}
Train 294 {from: Rostov; to: Kharkov; depart: 24-05-1916 17:06:00; arrive: 24-05-1916 18:06:00}
Train 295 {from: Ancora; to: Athina; depart: 11-08-1915 05:27:00; arrive: 17-08-1915 05:27:00}
Train 296 {from: Berlin; to: Kharkov; depart: 26-11-1915 20:44:00; arrive: 02-12-1915 04:44:00}
Train 297 {from: Sevastopol; to: Barcelona; depart: 10-05-1915 14:01:00; arrive: 19-05-1915 16:01:00}
Train 298 {from: Wien; to: Sevastopol; depart: 14-04-1915 04:15:00; arrive: 18-04-1915 04:15:00}
Train 299 {from: Bruxelles; to: Constantinopole; depart: 02-06-1915 12:26:00; arrive: 10-06-1915 15:26:00}
Train 300 {from: Budapest; to: Kyiv; depart: 31-05-1915 10:15:00; arrive: 01-06-1915 18:15:00}
Train 301 {from: Barcelona; to: Petrograd; depart: 27-02-1916 03:57:00; arrive: 09-03-1916 03:57:00}
Train 302 {from: Riga; to: Kyiv; depart: 06-06-1916 20:09:00; arrive: 06-06-1916 21:09:00}
Train 303 {from: Budapest; to: Frankfurt; depart: 12-04-1916 15:52:00; arrive: 14-04-1916 19:52:00}
Train 304 {from: Kharkov; to: Rostov; depart: 06-01-1915 18:04:00; arrive: 06-01-1915 22:04:00}
Train 305 {from: Wien; to: Sevastopol; depart: 29-05-1916 00:31:00; arrive: 02-06-1916 06:31:00}
Train 306 {from: Palermo; to: Paris; depart: 11-12-1915 10:13:00; arrive: 12-12-1915 17:13:00}
Train 307 {from: Ancora; to: Sevastopol; depart: 09-05-1916 14:32:00; arrive: 09-05-1916 20:32:00}
Train 308 {from: Barcelona; to: Bruxelles; depart: 07-04-1915 16:35:00; arrive: 08-04-1915 20:35:00}
Train 309 {from: Madrid; to: Ancora; depart: 02-08-1916 02:04:00; arrive: 11-08-1916 11:04:00}
Train 310 {from: Bruxelles; to: Berlin; depart: 06-06-1915 03:44:00; arrive: 10-06-1915 10:44:00}
Train 311 {from: Essen; to: Frankfurt; depart: 21-05-1916 07:58:00; arrive: 21-05-1916 14:58:00}
Train 312 {from: Vilno; to: Rostov; depart: 14-12-1915 06:28:00; arrive: 16-12-1915 10:28:00}
Train 313 {from: Vilno; to: Athina; depart: 15-01-1915 19:41:00; arrive: 21-01-1915 02:41:00}
Train 314 {from: Amsterdam; to: Buguresti; depart: 20-11-1915 15:25:00; arrive: 27-11-1915 23:25:00}
Train 315 {from: Bruxelles; to: Barcelona; depart: 04-03-1916 19:35:00; arrive: 06-03-1916 04:35:00}
Train 316 {from: Bruxelles; to: Ancora; depart: 10-08-1915 03:37:00; arrive: 17-08-1915 03:37:00}
Train 317 {from: Paris; to: Ancora; depart: 08-05-1915 12:50:00; arrive: 15-05-1915 17:50:00}
Train 318 {from: Brindisi; to: Munchen; depart: 17-06-1916 11:53:00; arrive: 18-06-1916 16:53:00}
Train 319 {from: Petrograd; to: Wien; depart: 13-07-1915 16:08:00; arrive: 18-07-1915 21:08:00}
Train 320 {from: Warszawa; to: Erzurum; depart: 14-10-1915 05:26:00; arrive: 16-10-1915 07:26:00}
Train 321 {from: Munchen; to: Roma; depart: 05-03-1916 08:03:00; arrive: 06-03-1916 13:03:00}
Train 322 {from: Erzurum; to: Sevastopol; depart: 12-02-1915 00:13:00; arrive: 12-02-1915 09:13:00}
Train 323 {from: Madrid; to: Athina; depart: 22-07-1916 14:35:00; arrive: 25-07-1916 18:35:00}
Train 324 {from: Budapest; to: Athina; depart: 25-06-1915 03:48:00; arrive: 29-06-1915 09:48:00}
Train 325 {from: Wien; to: Danzig; depart: 30-04-1915 06:34:00; arrive: 01-05-1915 06:34:00}
Train 326 {from: Roma; to: Constantinopole; depart: 05-09-1915 17:24:00; arrive: 11-09-1915 02:24:00}
Train 327 {from: Kyiv; to: Berlin; depart: 13-01-1915 13:58:00; arrive: 16-01-1915 21:58:00}
Train 328 {from: Buguresti; to: Sarajevo; depart: 27-02-1916 18:47:00; arrive: 29-02-1916 20:47:00}
Train 329 {from: Ancora; to: Rostov; depart: 06-01-1916 08:47:00; arrive: 07-01-1916 14:47:00}
Train 330 {from: Sarajevo; to: Ancora; depart: 18-12-1915 10:34:00; arrive: 20-12-1915 14:34:00}
Train 331 {from: Amsterdam; to: Madrid; depart: 01-05-1915 04:49:00; arrive: 02-05-1915 10:49:00}
Train 332 {from: Wien; to: Frankfurt; depart: 17-05-1915 14:57:00; arrive: 18-05-1915 22:57:00}
Train 333 {from: Budapest; to: Amsterdam; depart: 19-05-1915 05:09:00; arrive: 24-05-1915 11:09:00}
Train 334 {from: Bruxelles; to: Essen; depart: 22-06-1916 20:23:00; arrive: 26-06-1916 04:23:00}
Train 335 {from: Moskva; to: London; depart: 28-06-1915 06:43:00; arrive: 08-07-1915 07:43:00}
Train 336 {from: Lisboa; to: London; depart: 02-06-1916 20:45:00; arrive: 04-06-1916 04:45:00}
Train 337 {from: Madrid; to: Bruxelles; depart: 27-07-1916 13:38:00; arrive: 28-07-1916 19:38:00}
Train 338 {from: Madrid; to: Venezia; depart: 29-12-1915 11:47:00; arrive: 02-01-1916 11:47:00}
Train 339 {from: Venezia; to: Essen; depart: 13-01-1916 05:05:00; arrive: 14-01-1916 05:05:00}
Train 340 {from: Madrid; to: Amsterdam; depart: 12-02-1915 05:53:00; arrive: 13-02-1915 07:53:00}
Train 341 {from: Marseille; to: Venezia; depart: 01-02-1916 03:08:00; arrive: 02-02-1916 04:08:00}
Train 342 {from: Athina; to: Zurich; depart: 02-04-1916 07:56:00; arrive: 03-04-1916 08:56:00}
Train 343 {from: Munchen; to: Ancora; depart: 11-06-1916 21:59:00; arrive: 19-06-1916 01:59:00}
Train 344 {from: Roma; to: Petrograd; depart: 25-06-1915 11:13:00; arrive: 02-07-1915 14:13:00}
Train 345 {from: Barcelona; to: Frankfurt; depart: 06-02-1916 08:43:00; arrive: 10-02-1916 13:43:00}
Train 346 {from: Wien; to: Berlin; depart: 26-08-1915 22:56:00; arrive: 27-08-1915 06:56:00}
Train 347 {from: Lisboa; to: Madrid; depart: 20-06-1916 22:21:00; arrive: 21-06-1916 00:21:00}
Train 348 {from: Zurich; to: Frankfurt; depart: 30-06-1915 05:22:00; arrive: 30-06-1915 13:22:00}
Train 349 {from: Palermo; to: London; depart: 28-06-1915 11:05:00; arrive: 30-06-1915 20:05:00}
Train 350 {from: Barcelona; to: Lisboa; depart: 07-06-1915 16:40:00; arrive: 07-06-1915 19:40:00}
Train 351 {from: Sevastopol; to: Rostov; depart: 20-02-1915 12:53:00; arrive: 20-02-1915 16:53:00}
Train 352 {from: Bruxelles; to: Moskva; depart: 15-02-1916 15:36:00; arrive: 26-02-1916 00:36:00}
Train 353 {from: London; to: Sarajevo; depart: 26-06-1916 14:14:00; arrive: 01-07-1916 22:14:00}
Train 354 {from: Zgrab; to: Barcelona; depart: 23-02-1916 04:19:00; arrive: 29-02-1916 06:19:00}
Train 355 {from: Roma; to: Vilno; depart: 14-02-1915 16:52:00; arrive: 19-02-1915 00:52:00}
Train 356 {from: Buguresti; to: Zgrab; depart: 04-06-1915 04:30:00; arrive: 06-06-1915 06:30:00}
Train 357 {from: Zurich; to: Munchen; depart: 31-12-1915 01:09:00; arrive: 02-01-1916 01:09:00}
Train 358 {from: Warszawa; to: Constantinopole; depart: 24-05-1915 01:14:00; arrive: 26-05-1915 09:14:00}
Train 359 {from: Essen; to: Sevastopol; depart: 19-05-1916 01:45:00; arrive: 23-05-1916 10:45:00}
Train 360 {from: Venezia; to: Riga; depart: 02-04-1916 02:53:00; arrive: 05-04-1916 11:53:00}
Train 361 {from: London; to: Ancora; depart: 11-01-1916 16:34:00; arrive: 19-01-1916 21:34:00}
Train 362 {from: Berlin; to: London; depart: 06-07-1915 11:41:00; arrive: 10-07-1915 15:41:00}
Train 363 {from: Zgrab; to: Kyiv; depart: 19-02-1915 00:38:00; arrive: 21-02-1915 07:38:00}
Train 364 {from: Venezia; to: Buguresti; depart: 09-08-1915 12:17:00; arrive: 13-08-1915 19:17:00}
Train 365 {from: Madrid; to: Essen; depart: 18-02-1916 17:22:00; arrive: 24-02-1916 02:22:00}
Train 366 {from: London; to: Frankfurt; depart: 19-02-1915 13:25:00; arrive: 23-02-1915 18:25:00}
Train 367 {from: Vilno; to: Moskva; depart: 31-05-1915 07:05:00; arrive: 03-06-1915 09:05:00}
Train 368 {from: Marseille; to: Constantinopole; depart: 29-03-1916 17:36:00; arrive: 06-04-1916 00:36:00}
Train 369 {from: Berlin; to: Danzig; depart: 03-08-1916 19:55:00; arrive: 05-08-1916 02:55:00}
Train 370 {from: Pamplona; to: Petrograd; depart: 26-12-1915 15:09:00; arrive: 05-01-1916 16:09:00}
Train 371 {from: Lisboa; to: Ancora; depart: 26-01-1916 09:45:00; arrive: 04-02-1916 09:45:00}
Train 372 {from: Frankfurt; to: Sevastopol; depart: 05-03-1916 22:13:00; arrive: 11-03-1916 07:13:00}
Train 373 {from: Budapest; to: Sarajevo; depart: 27-04-1915 21:05:00; arrive: 27-04-1915 22:05:00}
Train 374 {from: Wien; to: Marseille; depart: 14-04-1916 20:12:00; arrive: 17-04-1916 21:12:00}
Train 375 {from: Sevastopol; to: Constantinopole; depart: 24-03-1915 07:39:00; arrive: 24-03-1915 16:39:00}
Train 376 {from: Venezia; to: Sevastopol; depart: 23-04-1915 19:44:00; arrive: 28-04-1915 20:44:00}
Train 377 {from: Brindisi; to: Ancora; depart: 21-02-1916 03:50:00; arrive: 26-02-1916 12:50:00}
Train 378 {from: Sevastopol; to: Buguresti; depart: 09-08-1916 03:19:00; arrive: 10-08-1916 11:19:00}
Train 379 {from: Rostov; to: Moskva; depart: 11-07-1915 22:35:00; arrive: 13-07-1915 05:35:00}
Train 380 {from: Venezia; to: Vilno; depart: 03-03-1915 22:57:00; arrive: 07-03-1915 23:57:00}
Train 381 {from: Sarajevo; to: Budapest; depart: 15-11-1915 02:40:00; arrive: 15-11-1915 07:40:00}
Train 382 {from: Pamplona; to: Paris; depart: 21-11-1915 00:00:00; arrive: 22-11-1915 03:00:00}
Train 383 {from: Roma; to: Erzurum; depart: 24-03-1915 22:48:00; arrive: 31-03-1915 03:48:00}
Train 384 {from: Palermo; to: Lisboa; depart: 13-02-1915 15:13:00; arrive: 16-02-1915 22:13:00}
Train 385 {from: Venezia; to: Brindisi; depart: 25-07-1916 17:39:00; arrive: 25-07-1916 17:39:00}
Train 386 {from: Roma; to: Amsterdam; depart: 29-05-1915 08:01:00; arrive: 31-05-1915 16:01:00}
Train 387 {from: Bruxelles; to: Amsterdam; depart: 10-10-1915 15:28:00; arrive: 10-10-1915 18:28:00}
Train 388 {from: Paris; to: Sarajevo; depart: 18-06-1916 01:53:00; arrive: 22-06-1916 04:53:00}
Train 389 {from: Ancora; to: Zurich; depart: 12-06-1916 08:52:00; arrive: 16-06-1916 17:52:00}
